Year,PRECINCT,ANTI-ARAB,Buddhist,ANTI-HINDU,Sikh,ANTI-ASIAN,Muslim,ASIAN CONSOLIDATED,60 YEARS OLD OR MORE,ANTI-BLACK,ANTI-CATHOLIC,Eatern Orthodox,ANTI-FEMALE,"ANTI-FEMALE HOMOSEXUAL
(GAY)",ANTI-GENDER NON CONFORMING,ANTI-HISPANIC,Jehovah Witness,ANTI-JEWISH,"ANTI-LGBT
(MIXED GROUP)","ANTI-MALE HOMOSEXUAL
(GAY)",Anti Man,ANTI-MULTI RACIAL GROUPS,ANTI-OTHER ETHNICITY,Protestant,ANTI-RELIGIOUS PRACTICE GENERALLY,Other Religion,ANTI-TRANSGENDER,ANTI-WHITE,Total
2020,001,0,,0,,0,0,,0,1,0,,0,0,0,0,,1,0,1,,0,0,,0,,0,1,4
2020,005,0,,0,,1,0,,0,0,0,,0,0,0,0,,3,0,0,,0,0,,0,,0,1,4
2020,006,0,,0,,3,0,,0,0,0,,0,0,0,0,,1,0,0,,1,0,,0,,0,0,2
2020,007,0,,0,,1,0,,0,0,0,,0,0,0,0,,3,0,0,,0,0,,0,,1,0,4
2020,009,0,,0,,0,0,,0,1,0,,0,0,0,0,,1,0,0,,0,0,,0,,0,0,2
2020,010,0,,0,,1,0,,0,4,5,,0,0,0,0,,0,0,4,,0,0,,0,,0,0,13
2020,013,0,,0,,3,0,,0,0,0,,0,0,0,0,,3,0,1,,0,0,,0,,0,0,4
2020,014,0,,0,,2,0,,0,1,0,,0,0,0,0,,0,0,0,,0,0,,0,,0,0,1
2020,017,0,,0,,2,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0
2020,018,0,,0,,0,0,,0,0,0,,0,0,0,0,,2,0,1,,0,1,,0,,0,0,4
2020,019,0,,0,,0,0,,0,0,0,,0,0,0,0,,4,0,0,,0,0,,0,,0,0,4
2020,020,0,,0,,0,0,,0,0,0,,0,1,1,0,,1,0,0,,0,0,,0,,0,0,3
2020,022,0,,0,,0,0,,0,0,0,,0,0,0,0,,0,0,0,,1,0,,0,,0,0,1
2020,023,0,,0,,2,0,,0,1,0,,0,1,0,0,,0,0,0,,0,0,,0,,0,0,2
2020,024,0,,0,,1,0,,0,0,0,,0,0,0,0,,2,0,1,,0,0,,0,,0,0,3
2020,025,0,,0,,0,0,,0,2,0,,0,0,0,0,,1,0,0,,0,0,,0,,0,0,3
2020,026,0,,0,,0,0,,0,1,0,,0,0,0,0,,2,0,0,,0,0,,0,,0,0,3
2020,028,0,,0,,0,0,,0,0,0,,0,0,0,0,,0,0,1,,0,0,,0,,0,0,1
2020,030,0,,0,,0,0,,0,1,0,,0,0,0,0,,0,1,0,,0,1,,0,,1,0,4
2020,032,0,,0,,0,0,,0,0,0,,0,0,0,0,,1,0,0,,0,0,,0,,0,1,2
2020,033,0,,0,,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0
2020,034,0,,0,,0,0,,0,1,2,,0,0,0,0,,1,0,0,,0,0,,0,,0,0,4
2020,040,0,,0,,1,0,,0,2,0,,0,2,0,0,,0,0,1,,0,0,,0,,0,0,5
2020,041,0,,0,,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0
2020,042,0,,0,,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0
2020,043,0,,0,,0,1,,0,0,0,,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0
2020,044,0,,0,,1,0,,0,0,0,,0,0,0,0,,3,0,2,,0,0,,0,,0,0,5
2020,045,0,,0,,0,0,,0,1,0,,0,0,0,0,,2,0,0,,0,0,,0,,0,0,3
2020,046,0,,0,,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0
2020,047,0,,0,,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0
2020,048,0,,0,,0,0,,0,0,0,,0,0,0,0,,0,0,1,,0,0,,0,,0,0,1
2020,049,0,,0,,0,0,,0,0,0,,0,0,0,0,,1,0,0,,0,0,,0,,0,0,1
2020,050,0,,0,,0,0,,0,0,0,,0,0,0,0,,2,0,0,,0,0,,0,,0,0,2
2020,052,0,,0,,0,0,,0,0,0,,0,0,0,0,,0,1,0,,0,0,,0,,0,0,1
2020,060,0,,0,,0,0,,0,0,0,,0,0,0,0,,6,0,1,,0,0,,0,,0,0,7
2020,061,0,,0,,0,0,,0,0,1,,0,0,0,0,,2,0,0,,0,0,,0,,0,0,3
2020,062,0,,0,,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0
2020,063,0,,0,,0,0,,0,0,0,,0,0,0,0,,1,0,0,,0,0,,0,,0,1,2
2020,066,0,,0,,1,0,,0,1,1,,0,0,0,0,,6,0,0,,0,0,,0,,0,0,8
2020,067,0,,0,,0,0,,0,1,0,,0,0,1,0,,0,0,1,,0,0,,0,,0,0,3
2020,068,0,,0,,0,0,,0,0,0,,0,0,0,0,,1,0,0,,0,0,,1,,0,0,2
2020,069,0,,0,,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0
2020,070,0,,0,,0,0,,0,0,0,,0,0,0,0,,14,0,0,,0,0,,0,,0,0,14
2020,071,0,,0,,0,0,,0,0,0,,0,0,0,0,,2,0,1,,0,0,,0,,0,0,3
2020,072,0,,0,,0,0,,0,1,0,,0,0,0,0,,4,0,0,,0,0,,0,,0,0,5
2020,073,0,,0,,0,0,,0,0,0,,0,0,0,0,,2,0,0,,0,0,,0,,0,0,2
