Year,Race (Source),ANTI-ASIAN,ANTI-BLACK,ANTI-WHITE,ANTI-HISPANIC,ANTI-MULTI RACIAL GROUPS,ANTI-OTHER ETHNICITY,ANTI-JEWISH,ANTI-MUSLIM,ANTI-CATHOLIC,ANTI-HINDU,ANTI-SIKH,ANTI-OTHER RELIGION,ANTI-JEHOVAH'S WITNESS,ANTI-MALE HOMOSEXUAL (GAY),ANTI-MALE HOMOSEXUAL (GAY),ANTI-FEMALE HOMOSEXUAL (LESBIAN),ANTI-TRANSGENDER,ANTI-GENDER NON CONFORMING,ANTI-LGBT(MIXED GROUP),60 YEARS OLD OR MORE,ANTI-FEMALE,OTHER
2020,ASIAN / PACIFIC ISLANDER,0,2,0.0,0.0,0.0,0.0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,ASIAN / PACIFIC ISLANDER,5,3,0.0,0.0,0.0,0.0,14,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022,ASIAN / PACIFIC ISLANDER,2,2,0.0,1.0,1.0,4.0,17,0.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,ASIAN / PACIFIC ISLANDER,3,1,0.0,1.0,0.0,0.0,15,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,BLACK,11,0,2.0,0.0,0.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0
2021,BLACK,31,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,BLACK,39,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,BLACK,17,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,HISPANIC,7,3,3.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
2021,HISPANIC,15,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,HISPANIC,21,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,HISPANIC,14,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,UNKNOWN,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,WHITE,2,2,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2021,WHITE,7,15,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,WHITE,17,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,WHITE,6,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
